Honolulu 1PearlHarbor 2Waikiki 3LyonArboretum 4IolaniPalace 5AlaMoanaPark
Juneau 1MendenhallGlacier 2TracyArmFjord 3GlacierBayNationalPark 4MacaulaySalmonHatchery 5Juneau-DouglasCityMuseum
Adak 1ThreeArmBay 2AlaskaMaritimeNationalWildlifeRefuge 3Mt.Moffett 4Mt.Reed 5AleutianAdventureTours
LosAngeles 1TheGettyCenter 2UniversalStudiosHollywood 3VeniceBeach 4LongBeach 5GriffithObservatory
SanDiego 1USSMidwayMuseum 2SanDiegoZoo 3BalboaPark 4LaJollaCove 5SeaWorld
Seattle 1SpaceNeedle 2PikePlaceMarket 3OlympicSculpturePark 4WoodlandParkZoo 5PioneerSquareHistoricDistrict 
Spokane 1ManitoPark 2RiverfrontPark 3GreenBluff 4MountSpokane 5MartinWoldsonTheaterAtTheFox
Phoenix 1MusicalInstrumentMuseum 2DesertBotanicalGarden 3HeardMuseum 4CamelbackMountain 5SouthMountainPark
SaltLakeCity 1BigCottonwoodCanyon 2FamilyHistoryLibrary 3TempleSquare 4NaturalHistoryMuseumOfUtah 5LDSConferenceCenter
Chicago 1TheArtInstituteOfChicago 2MillenniumPark 3CloudGate 4WrigleyField 5MuseumOfScienceAndIndustry
Dallas 1Arboretum&BotanicalGardens 2MortonHMeyersonSymphonyCenter 3KlydeWarrenPark 4DallasWorldAquarium 5DallasMuseumOfArt
NewOrleans 1TheNationalWWIIMuseum 2St.LouisCathedral 3FrenchmanStreet 4JacksonSquare 5GardenDistrict
Boston 1FenwayPark 2MuseumOfFineArts 3FreedomTrail 4BostonPublicGarden 5BostonTeaPartyShips&Museum
Miami 1VizcayaMuseumAndGardens 2ZooMiami 3WynwoodWalls 4MarlinsPark 5BaysideMarketplace
NewYork 1StatueOfLiberty 2EmpireStateBuilding 3CentralPark 4BroadwayAndShubertAlley 5MetropolitanMuseumOfArt
London 1BuckinghamPalace 2TheBritishMuseum 3TheTowerOfLondon 4BigBenAndParliament 5WestminsterAbbey
Paris 1EiffelTower 2NotreDame 3LouvreMuseum 4ArcDeTriomphe 5OrsayMuseum
Kathmandu 1SwayambhunathTemple 2Boudhanath 3KopanMonastery 4GardenOfDreams 5Thamel
Seoul 1TheWarMemorialOfKorea 2GyeongbokgungPalace 3BukhansanNationalPark 4ChangdeokgungPalace 5NationalMuseumOfKorea
